,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,Avg,HGT_flag
Q9UKX2,2,2,13,3,3,2,15,7,34,1,9,13,36,8.666666666666666,False
Q96PW8,1,1,1,1,1,1,4,13,15,4,1,5,4,3.0833333333333335,False
Q9NVH0,17,18,15,22,1,15,19,17,20,17,1,16,17,15.0,False
P10073,0,0,0,0,0,0,1,0,26,0,1,17,8,2.25,False
Q96NI8,3,3,3,3,2,3,1,3,31,15,7,12,22,6.416666666666667,False
Q13501,2,3,0,4,15,9,1,3,2,2,15,12,4,5.538461538461538,False
J3KQL4,1,1,1,1,1,1,1,1,1,1,1,14,17,2.0833333333333335,False
P57739,1,1,1,1,1,1,1,2,3,2,1,2,1,1.3846153846153846,False
Q53LP3,4,6,2,6,7,11,10,10,8,10,13,14,10,8.538461538461538,False
Q9NX62,20,2,2,2,0,45,1,1,1,14,32,43,45,16.0,False
P49842,0,1,5,1,1,25,21,22,24,22,1,23,23,13.0,False
Q8NGL9,3,0,0,3,1,0,1,0,5,1,12,1,10,2.0833333333333335,False
Q6ZSZ6,2,2,2,2,2,2,4,2,7,1,7,2,2,2.090909090909091,False
O75131,2,24,26,3,7,26,22,18,19,22,20,22,21,17.846153846153847,False
Q12913,11,3,1,3,5,32,12,6,21,14,11,18,23,10.666666666666666,False
Q08334,2,0,2,0,0,2,1,2,2,2,1,3,3,1.5384615384615385,False
Q6ZMI3,6,7,2,1,2,6,1,7,5,5,4,4,5,4.230769230769231,False
Q3C1V9,1,1,1,1,1,1,1,1,1,0,3,7,13,1.5833333333333333,False
Q8N103,1,1,1,1,0,0,0,6,0,6,4,19,20,1.8181818181818181,False
A6NJL1,0,0,2,16,0,1,1,2,2,2,13,23,8,3.9166666666666665,False
A8MPP1,0,0,17,1,1,17,5,5,7,40,1,25,25,8.666666666666666,False
O75881,19,1,0,17,14,17,21,14,13,15,13,44,39,15.25,False
ENSP00000317768,0,0,0,0,0,12,1,0,0,9,8,15,1,2.5833333333333335,False
Q15527,6,6,2,1,10,17,17,6,17,6,10,17,18,10.23076923076923,False
P61626,4,9,6,9,47,4,6,3,16,7,47,17,18,9.0,False
Q96AJ1,19,20,22,19,17,15,15,17,18,15,17,18,17,17.25,False
Q9NW15,5,5,20,16,8,13,7,8,11,15,8,10,9,9.583333333333334,False
Q99489,18,46,17,18,35,41,50,37,36,47,34,39,35,34.84615384615385,True
Q13117,0,0,0,1,0,0,4,14,17,11,4,24,23,7.538461538461538,False
P27815,4,4,5,2,2,1,21,21,21,14,37,15,12,10.166666666666666,False
Q12794,3,11,8,1,7,6,10,9,9,7,7,8,9,7.3076923076923075,False
P31146,4,0,26,2,0,21,7,11,11,23,5,31,45,11.75,False
Q96RP7,10,9,2,11,8,3,6,11,6,10,51,6,6,7.333333333333333,False
Q9BXT8,10,11,2,7,11,9,5,8,6,7,11,6,10,7.923076923076923,False
Q8WUB2,1,1,1,1,1,1,1,1,1,1,1,0,0,0.8461538461538461,False
Q5TC12,7,14,4,14,5,4,11,12,6,4,5,3,6,7.3076923076923075,False
P16333,1,6,7,8,1,15,0,3,2,10,10,13,12,6.769230769230769,False
O76036,1,1,1,1,1,1,1,1,6,3,2,3,4,2.0,False
Q96DN0,4,4,4,4,0,3,6,4,4,3,26,18,20,6.166666666666667,False
P03372,0,0,2,1,2,1,5,5,1,6,4,1,5,2.5384615384615383,False
A6NEQ2,5,4,4,4,1,10,5,5,3,5,1,10,10,5.153846153846154,False
P59542,0,0,2,0,1,1,1,3,2,4,2,5,13,1.75,False
O14683,8,4,3,11,6,4,5,5,7,4,6,4,5,5.083333333333333,False
Q96PD5,50,49,1,1,1,52,5,52,2,52,45,52,9,28.53846153846154,True
Q0VGE8,0,0,0,0,0,0,1,0,29,1,12,12,21,3.9166666666666665,False
Q8NBW4,47,5,6,5,5,3,4,3,6,3,21,3,22,7.166666666666667,False
Q16874,1,1,6,3,1,56,64,0,16,21,1,44,43,19.76923076923077,False
P04746,0,0,13,1,1,54,44,43,45,46,1,36,37,24.692307692307693,False
Q8WY22,0,0,2,1,1,0,0,0,0,0,1,0,0,0.38461538461538464,False
Q495Y7,1,1,4,5,1,1,6,5,28,13,0,6,12,4.583333333333333,False
P01911,0,1,7,1,0,5,6,0,2,6,1,0,2,2.3846153846153846,False
Q13217,11,12,12,36,1,37,7,7,8,4,35,6,5,13.923076923076923,False
P10826,3,2,2,2,4,0,9,1,4,1,2,5,7,2.75,False
O00400,30,4,7,5,5,31,3,31,4,3,28,3,11,12.692307692307692,False
O00744,4,4,4,4,4,4,9,9,9,12,8,5,8,6.461538461538462,False
Q9UN66,0,0,8,0,1,2,1,5,13,6,1,10,5,3.25,False
Q8NG48,23,23,0,1,20,6,1,6,3,0,20,14,0,9.0,False
Q9H0X4,6,6,0,0,0,7,0,1,1,0,3,4,4,2.4615384615384617,False
Q6ZRM9,0,0,0,0,1,0,1,0,0,0,1,0,0,0.23076923076923078,False
O75340,14,14,20,20,5,15,13,13,19,23,12,15,13,15.076923076923077,False
Q2Q1W2,46,45,6,2,5,41,43,43,2,1,45,44,20,26.384615384615383,True
Q8N128,2,8,3,3,23,5,10,6,5,8,23,5,6,5.545454545454546,False
Q6ZMM2,2,2,5,5,4,2,4,2,5,8,8,7,3,4.384615384615385,False
Q9NQE9,18,5,5,4,14,13,13,13,14,14,14,37,41,13.666666666666666,False
ENSP00000415172,1,1,1,1,1,1,1,1,1,35,1,1,1,1.0,False
Q6P1R4,27,23,6,19,4,21,6,24,6,31,10,6,8,14.692307692307692,False
Q53T85,0,0,0,0,1,0,1,0,0,0,1,1,1,0.38461538461538464,False
O15400,1,14,20,12,1,13,5,14,3,20,6,8,14,10.076923076923077,False
A4D1E1,2,2,3,3,2,22,3,10,3,20,10,25,2,8.23076923076923,False
Q00059,3,6,6,4,0,2,3,3,12,2,16,11,17,6.538461538461538,False
Q6ZN57,1,1,14,1,6,1,1,1,24,21,15,12,16,8.76923076923077,False
Q9Y608,6,6,5,4,1,1,7,1,2,1,4,1,3,3.230769230769231,False
P53992,0,14,20,13,5,10,4,8,3,19,5,7,16,9.538461538461538,False
Q9HCE9,19,13,1,7,3,15,2,16,9,15,7,9,8,9.538461538461538,False
Q9H2U9,0,0,0,0,0,0,1,0,10,1,6,9,8,2.6923076923076925,False
Q93033,0,0,0,0,1,0,1,0,1,0,1,1,0,0.38461538461538464,False
Q7L8S5,1,29,24,1,1,28,11,13,19,18,8,9,10,13.23076923076923,False
Q8TAM1,8,8,3,3,10,8,8,8,8,8,10,8,32,7.5,False
Q5T0B9,2,8,2,19,2,4,6,5,25,7,9,16,3,6.916666666666667,False
Q9P2E2,7,7,5,10,20,5,20,21,4,19,20,4,23,12.692307692307692,False
P25713,2,1,4,1,1,1,1,2,2,5,2,1,3,2.0,False
ENSP00000301038,11,11,11,11,1,13,9,17,11,9,1,12,17,10.307692307692308,False
Q9Y2J2,2,5,2,2,0,5,2,4,3,3,1,2,6,2.8461538461538463,False
Q14651,2,2,25,0,0,1,7,8,10,21,5,9,5,5.833333333333333,False
P30485,1,1,1,1,1,1,1,1,1,1,1,1,2,1.0769230769230769,False
Q3B7J2,2,6,5,0,41,40,46,47,5,2,41,30,39,23.384615384615383,False
P19544,2,3,3,21,1,18,18,18,19,18,5,15,14,11.923076923076923,False
Q9H7N4,11,11,2,21,2,9,13,8,2,7,7,6,2,6.666666666666667,False
O95377,0,0,0,3,0,0,3,0,0,3,0,0,2,0.8461538461538461,False
B7ZBB8,16,16,1,1,7,7,16,7,7,14,20,12,26,11.538461538461538,False
Q9P258,15,16,19,16,18,15,16,15,16,1,41,45,42,21.153846153846153,False
Q9Y5R8,8,12,21,12,5,6,10,9,8,8,5,7,5,7.916666666666667,False
P33991,8,28,17,12,4,7,3,7,3,1,4,7,4,6.416666666666667,False
Q96NE9,1,2,2,2,4,6,3,4,1,3,5,4,15,3.0833333333333335,False
Q8IYP9,14,6,7,6,4,6,4,4,4,16,18,12,20,9.307692307692308,False
P19623,26,24,32,28,24,17,30,17,8,24,24,27,33,24.153846153846153,False
Q8N4W5,0,0,0,0,1,0,1,0,0,0,1,0,1,0.3076923076923077,False
Q9UBR4,2,4,2,2,2,14,4,4,4,9,21,4,23,6.0,False
P10911,0,2,0,1,0,6,0,5,5,6,5,14,12,3.5,False
Q86WN1,1,1,0,1,0,20,1,15,7,7,4,11,23,5.666666666666667,False
P24863,9,10,13,11,9,5,8,6,6,10,9,8,5,8.384615384615385,False
Q8N1Q1,1,1,8,1,1,25,4,4,45,54,36,17,49,18.923076923076923,False
O14618,47,15,17,42,12,50,11,17,20,42,35,35,12,27.307692307692307,True
Q96HC4,24,23,2,28,7,0,2,13,11,18,7,20,4,12.23076923076923,False
O75676,2,4,5,5,4,19,29,20,16,17,17,8,10,10.583333333333334,False
O00716,0,21,1,1,17,17,23,17,22,22,17,20,17,15.0,False
Q5D1E8,0,1,0,1,2,5,12,1,5,8,4,2,3,2.6666666666666665,False
A1L0T0,43,42,50,48,49,36,49,26,49,44,49,46,28,43.0,True
Q8TC29,18,4,25,19,16,17,20,19,19,19,16,17,17,17.384615384615383,False
Q03828,2,7,2,8,2,7,1,4,2,7,17,3,6,4.25,False
O15015,12,2,2,2,2,2,1,2,2,12,16,10,10,5.769230769230769,False
Q8NGS5,5,5,7,1,5,5,1,4,10,5,6,6,6,4.666666666666667,False
Q5JPF3,1,1,1,18,0,1,1,1,19,16,13,25,6,7.923076923076923,False
Q96JS3,3,3,3,3,1,0,14,11,13,11,1,11,11,6.538461538461538,False
Q6NXG1,0,5,3,3,18,17,4,16,5,22,18,17,11,10.692307692307692,False
Q8N1F8,1,7,2,4,13,23,5,20,6,19,13,5,2,9.23076923076923,False
Q32M84,14,14,2,2,14,11,12,11,14,12,26,10,28,11.833333333333334,False
ENSP00000364429,1,1,1,1,1,1,1,1,1,1,1,12,1,1.0,False
Q3MJ40,0,0,0,1,1,1,1,3,3,3,3,31,51,3.9166666666666665,False
Q9UPY6,1,18,6,8,16,17,5,15,20,46,16,14,17,12.75,False
ENSP00000412774,1,1,7,11,1,1,1,1,1,40,1,1,1,2.3333333333333335,False
Q9C0J8,42,18,2,6,11,5,6,5,11,8,11,10,15,9.0,False
P54762,3,2,8,2,2,26,1,5,3,9,3,13,2,4.416666666666667,False
Q8WW52,10,9,4,4,3,7,2,5,4,9,5,4,4,5.384615384615385,False
Q9UBS0,0,11,23,51,10,53,14,16,47,23,31,14,19,24.0,False
P40222,0,12,2,24,0,8,13,11,11,15,13,14,11,9.166666666666666,False
ENSP00000384982,0,0,0,0,0,0,18,0,0,16,15,10,4,4.846153846153846,False
Q99653,5,3,13,17,2,19,17,16,39,25,4,18,22,13.416666666666666,False
Q6Q8B3,0,0,2,1,0,4,1,0,0,0,0,0,1,0.6923076923076923,False
Q15543,13,19,18,18,9,10,15,13,9,9,9,9,11,12.461538461538462,False
Q86SG5,0,0,4,1,3,3,1,3,3,3,27,1,2,2.0,False
Q8TBB3,0,0,0,0,1,0,1,0,0,0,1,1,1,0.38461538461538464,False
O95718,1,3,1,8,2,7,6,6,6,5,3,4,4,4.3076923076923075,False
Q8NG75,0,5,2,0,4,5,1,1,7,4,5,3,5,3.230769230769231,False
Q49AS3,3,4,3,4,1,3,1,4,3,5,1,0,4,2.769230769230769,False
A4D226,0,0,0,0,1,0,2,5,3,7,1,2,3,1.4166666666666667,False
A0PK00,4,3,28,3,3,15,14,15,16,21,18,16,15,13.153846153846153,False
Q9P2G9,7,7,7,7,3,24,19,7,21,6,18,16,47,11.833333333333334,False
ENSP00000401970,1,1,3,3,1,1,10,1,1,46,39,45,47,15.307692307692308,False
Q86UW9,1,7,7,1,5,6,5,5,20,22,19,3,4,8.076923076923077,False
Q8WWB5,7,7,8,8,8,6,7,7,7,7,19,20,21,10.153846153846153,False
Q9NXV6,4,4,2,3,4,2,6,1,3,6,4,6,1,3.5384615384615383,False
Q9BVL4,33,34,49,47,50,59,37,30,33,30,50,37,37,40.46153846153846,True
Q6IV72,4,0,0,4,0,0,1,4,28,14,10,14,22,6.083333333333333,False
P25963,2,6,0,0,21,23,4,4,4,6,21,4,5,7.6923076923076925,False
P51570,37,37,46,39,38,37,45,38,40,37,36,42,44,39.69230769230769,True
Q8N5Z0,29,34,43,32,29,23,33,20,29,29,28,32,45,30.083333333333332,True
Q15464,3,9,3,3,3,7,5,4,11,2,5,4,7,4.583333333333333,False
Q3SYC2,1,12,12,3,5,7,9,6,4,28,5,6,8,6.5,False
Q6URK8,11,12,2,11,1,11,11,1,2,11,1,2,11,6.6923076923076925,False
Q9BZX4,0,0,0,0,0,12,30,12,26,22,8,29,28,12.846153846153847,False
Q9UJM8,15,40,40,42,32,30,36,25,4,34,24,42,42,31.23076923076923,True
Q9BTX7,5,4,4,18,1,19,5,14,11,3,14,15,22,10.384615384615385,False
P10266,1,1,5,1,59,1,1,5,7,6,59,23,25,6.909090909090909,False
Q6XE38,0,0,3,0,3,0,1,0,3,2,3,3,4,1.6923076923076923,False
P20749,8,8,0,0,26,8,18,8,3,10,26,17,4,10.461538461538462,False
P27449,12,8,6,36,28,29,6,3,4,10,27,6,40,16.53846153846154,False
Q6KB66,1,1,2,2,2,0,7,0,6,4,21,7,20,2.909090909090909,False
Q9BX26,2,2,2,2,2,4,4,4,5,4,4,28,29,3.1818181818181817,False
Q7Z7F7,5,3,7,8,1,5,6,7,5,5,1,5,6,4.923076923076923,False
Q7Z572,6,6,0,1,27,0,6,6,0,0,53,5,0,4.75,False
P06316,1,1,3,11,1,4,1,4,3,6,22,21,23,7.769230769230769,False
Q96LU7,0,0,0,0,1,0,16,0,0,17,1,6,9,2.75,False
Q8N319,0,0,0,0,1,0,1,0,0,0,1,0,0,0.23076923076923078,False
O95801,7,4,11,7,11,7,10,6,4,5,11,5,29,7.333333333333333,False
P27105,5,41,50,49,3,31,35,30,29,34,22,34,35,30.615384615384617,True
Q8NI29,2,2,1,1,1,27,1,2,27,8,19,9,9,8.384615384615385,False
Q9BZG9,4,4,4,4,2,2,1,2,4,4,2,3,6,3.230769230769231,False
Q15648,6,6,9,20,16,4,4,4,7,4,15,4,8,7.25,False
Q9H503,0,0,0,0,3,0,1,0,0,12,5,11,6,2.1666666666666665,False
Q86YL5,0,0,4,0,1,0,1,0,0,0,1,0,0,0.5384615384615384,False
Q9H819,24,1,23,24,0,19,16,11,4,24,23,25,23,16.692307692307693,False
Q8IVF5,22,8,0,0,7,9,9,5,4,12,7,10,18,7.416666666666667,False
Q9UHF3,1,1,6,8,1,51,1,9,20,16,46,43,43,18.923076923076923,False
P01599,1,1,9,1,1,1,1,1,27,6,20,8,26,7.923076923076923,False
O75871,0,0,0,0,1,0,1,0,3,4,3,9,8,1.6666666666666667,False
Q8NEG2,3,4,0,10,8,8,8,8,8,8,8,9,9,7.0,False
P57052,3,3,2,2,3,9,3,8,2,27,6,12,19,6.0,False
Q5TC84,2,19,3,2,2,18,2,17,19,17,17,20,20,12.153846153846153,False
Q7L985,4,4,4,9,8,29,4,5,9,11,8,22,22,9.166666666666666,False
Q8NDH3,17,17,4,3,20,43,43,18,19,29,31,43,20,23.615384615384617,False
Q5S007,22,22,4,10,4,0,18,12,9,17,43,17,18,12.75,False
P08173,6,6,6,6,6,4,4,10,7,9,26,5,7,6.333333333333333,False
Q15517,1,1,1,1,1,3,1,1,1,0,1,2,2,1.2307692307692308,False
O14662,4,5,17,22,7,7,7,7,8,19,7,7,21,10.615384615384615,False
Q8TBZ8,0,0,0,1,0,0,1,0,27,15,7,4,19,3.9166666666666665,False
P51610,5,24,3,6,5,23,21,13,24,19,30,7,8,14.461538461538462,False
Q9H9Y2,3,3,13,7,2,3,2,3,2,11,2,3,4,3.75,False
Q9P1P4,4,4,7,15,4,7,1,6,6,12,25,10,9,7.083333333333333,False
Q8WXI3,2,3,3,2,3,2,3,0,3,2,3,20,11,3.0833333333333335,False
Q9P0S3,3,3,25,3,3,26,9,9,10,21,10,11,9,10.923076923076923,False
Q96BY2,1,1,0,1,0,5,5,5,5,4,28,5,5,3.0833333333333335,False
Q16514,19,18,22,22,7,7,9,5,20,8,7,8,18,13.076923076923077,False
Q9NZQ9,1,1,1,0,1,0,0,4,19,6,14,3,13,3.6666666666666665,False
P15502,3,8,2,58,4,9,1,4,4,53,4,1,1,3.727272727272727,False
P59037,0,0,0,0,1,0,1,0,0,0,1,0,1,0.3076923076923077,False
P56715,4,4,1,1,1,2,2,9,1,8,4,7,1,3.4615384615384617,False
Q8IYU2,2,2,2,3,3,23,23,26,7,1,5,6,18,9.307692307692308,False
Q1X8D7,5,5,0,0,0,3,9,4,30,8,0,8,11,4.416666666666667,False
Q4JDL3,0,0,1,8,8,10,1,3,12,10,14,20,22,8.384615384615385,False
Q9NZC7,21,6,7,49,32,44,3,30,34,21,32,44,47,28.46153846153846,True
Q9Y580,23,7,0,26,3,5,11,3,4,23,3,12,12,10.153846153846153,False
P34130,1,1,3,3,3,3,4,3,7,5,4,6,10,3.5833333333333335,False
Q96KR4,22,22,7,26,42,18,20,20,22,18,41,21,19,21.333333333333332,False
Q96NB3,17,23,7,19,18,19,6,7,15,19,18,19,21,16.0,False
O75570,1,1,2,17,1,49,1,14,4,21,14,36,19,10.916666666666666,False
Q96JM7,3,8,2,4,5,3,5,4,7,8,21,16,7,6.0,False
Q6ZSB9,8,2,4,9,2,19,1,1,24,7,15,4,13,7.083333333333333,False
Q63ZY3,2,2,2,2,2,2,1,5,27,5,8,6,17,4.5,False
Q9BVI0,9,15,2,3,15,8,8,14,5,4,15,6,7,8.538461538461538,False
P0C1Z6,9,2,1,1,2,7,2,3,8,2,2,3,9,3.923076923076923,False
Q9H8G1,0,0,0,0,0,0,9,0,28,0,4,12,17,3.5,False
Q8N2Y8,7,7,3,3,4,2,2,2,2,8,4,6,3,4.076923076923077,False
Q92823,0,1,4,2,2,4,4,2,4,7,2,2,1,2.3333333333333335,False
O43678,7,19,10,9,9,7,7,8,7,8,9,7,7,7.916666666666667,False
Q5VY43,3,3,4,12,5,4,3,9,7,25,5,19,24,9.461538461538462,False
Q96B49,1,1,1,2,1,1,1,1,1,1,1,1,1,1.0769230769230769,False
ENSP00000388046,1,1,6,1,1,10,1,5,10,5,1,7,7,4.3076923076923075,False
ENSP00000384224,1,1,1,1,1,1,1,1,1,1,1,15,1,1.0,False
Q96E39,1,1,38,38,1,1,2,29,31,60,47,29,30,23.692307692307693,False
Q14330,4,4,4,4,4,2,7,2,4,3,11,5,10,4.416666666666667,False
Q9P2K9,52,50,3,3,26,25,8,3,24,22,26,10,9,20.076923076923077,False
Q96MY1,4,10,1,5,8,4,6,7,9,10,7,6,4,6.230769230769231,False
Q9ULX3,8,6,15,12,5,4,6,6,6,5,5,9,7,6.583333333333333,False
Q6PGP7,6,8,9,15,7,5,13,4,8,2,7,12,33,8.0,False
ENSP00000404627,1,1,19,54,1,1,1,1,1,25,1,5,1,4.833333333333333,False
Q96M34,3,1,2,2,12,13,1,3,1,7,12,10,14,6.230769230769231,False
Q6ZMY9,0,0,0,0,0,0,1,0,32,3,3,9,14,2.5,False
Q9Y614,1,1,1,1,1,1,32,1,38,30,19,28,31,14.23076923076923,False
P01708,1,1,3,1,2,1,1,10,4,0,21,25,27,7.461538461538462,False
Q8IYR0,18,18,5,20,21,18,19,18,20,18,21,20,20,18.153846153846153,False
P43250,0,5,6,0,0,6,1,16,43,21,1,12,11,6.583333333333333,False
Q5VTD9,5,7,1,1,1,8,6,3,6,8,15,14,15,6.923076923076923,False
Q9Y2S6,20,10,17,16,1,4,1,2,8,17,1,21,23,10.846153846153847,False
Q5VVJ2,16,17,8,8,16,19,19,19,18,20,19,18,6,15.615384615384615,False
Q86V42,5,5,4,4,11,10,9,9,5,11,11,10,9,7.923076923076923,False
O60477,0,0,0,0,0,0,1,1,1,6,0,0,3,0.5,False
P28749,9,21,8,7,17,16,5,19,17,18,17,18,19,14.692307692307692,False
Q5K4E3,0,0,1,1,1,5,2,4,0,26,21,7,7,4.083333333333333,False
Q9H2A9,3,3,3,10,3,5,7,10,26,11,20,11,3,7.416666666666667,False
Q6ZNB5,0,0,0,0,23,12,1,6,17,22,23,9,13,9.692307692307692,False
Q86W26,1,1,3,5,1,1,1,1,6,1,22,18,3,3.5,False
Q9Y6R1,2,1,2,2,1,2,17,9,15,17,18,17,16,9.153846153846153,False
Q5T751,1,1,1,0,1,0,1,0,1,3,1,3,1,1.0769230769230769,False
P49247,21,21,33,24,27,18,26,18,21,20,27,21,23,22.25,False
Q9Y5H6,1,1,1,1,1,1,1,1,1,1,1,6,4,1.6153846153846154,False
P32249,2,1,1,2,1,1,1,1,1,1,6,6,3,1.3636363636363635,False
Q9BQY4,1,1,1,12,1,0,0,0,16,15,1,8,0,4.3076923076923075,False
Q9BZA7,0,0,3,1,1,0,0,0,4,1,41,4,50,4.583333333333333,False
O95297,2,2,2,2,2,1,1,1,2,3,2,1,2,1.7692307692307692,False
P62341,19,3,5,4,17,12,8,16,16,16,17,16,16,12.692307692307692,False
Q6PB30,1,1,1,1,1,1,1,1,1,0,0,0,0,0.6923076923076923,False
Q16629,3,5,8,6,4,19,7,14,18,18,14,17,22,11.923076923076923,False
P50225,0,0,3,0,0,7,4,3,45,1,44,23,24,11.846153846153847,False
P09038,1,1,1,1,1,2,1,7,8,12,3,6,1,2.75,False
Q96M94,1,1,1,1,0,0,1,0,22,51,16,5,15,5.25,False
Q15391,0,0,0,0,0,0,1,0,0,4,0,5,4,0.75,False
O95944,3,3,3,2,3,2,1,3,3,1,5,6,6,3.1538461538461537,False
Q9Y2A0,0,0,0,0,1,0,1,0,0,0,1,1,1,0.38461538461538464,False
Q9GZQ6,1,2,2,2,2,2,1,6,13,7,8,5,2,3.3333333333333335,False
Q9UPR6,1,10,1,1,6,0,5,8,7,5,21,4,6,4.5,False
Q96IQ7,2,0,4,4,2,2,2,2,5,3,18,9,8,3.5833333333333335,False
Q9NWD8,5,6,5,5,1,4,5,5,4,4,1,4,4,4.076923076923077,False
Q10570,7,7,11,7,7,5,5,5,7,6,7,5,8,6.6923076923076925,False
Q96PF1,0,0,0,4,0,9,1,9,6,7,3,8,9,4.3076923076923075,False
Q9BZD6,0,0,0,1,5,0,6,0,0,2,5,0,0,1.4615384615384615,False
Q4V339,1,1,1,1,1,62,35,24,10,37,1,34,31,14.75,False
Q5JUK3,2,7,7,26,4,22,17,19,3,18,18,3,16,12.461538461538462,False
Q6ZRF8,10,10,6,10,9,8,7,7,10,7,9,6,26,8.25,False
Q8NGN8,1,1,4,1,1,5,1,2,7,5,0,1,1,1.9166666666666667,False
ENSP00000403200,1,1,1,1,1,1,1,1,1,1,1,0,1,0.9230769230769231,False
Q08AN1,0,0,0,5,0,3,1,2,28,9,8,15,16,4.916666666666667,False
Q9NYZ3,3,2,0,0,1,1,1,1,2,5,1,0,0,1.3076923076923077,False
P54829,3,4,3,3,3,2,5,7,8,21,11,19,20,8.384615384615385,False
Q9BWT7,0,26,0,0,0,0,3,4,0,7,8,3,54,4.25,False
Q9P032,4,5,5,3,2,3,4,4,2,3,2,3,3,3.3076923076923075,False
Q6ZS81,6,12,10,10,1,17,7,15,19,6,11,18,18,11.538461538461538,False
ENSP00000381422,1,1,1,1,1,1,1,1,1,1,1,5,23,1.3333333333333333,False
A6NDH6,0,0,3,0,1,0,1,1,7,3,1,2,3,1.25,False
Q8WY54,19,24,0,0,0,13,15,14,0,1,29,2,48,9.75,False
P80098,3,0,1,8,1,8,1,2,0,7,3,3,2,3.0,False
O15496,3,2,2,3,1,6,1,5,6,9,15,1,6,3.75,False
Q92551,1,16,8,2,4,18,6,7,5,14,3,8,15,8.23076923076923,False
Q8IYQ7,28,28,3,4,37,36,26,47,24,44,37,37,36,29.76923076923077,True
Q8IYL2,9,9,10,10,6,2,2,2,4,2,6,11,14,6.6923076923076925,False
P62875,11,13,14,15,4,6,12,8,10,7,8,9,7,9.538461538461538,False
P56559,2,1,6,2,1,5,10,5,5,35,39,21,28,12.307692307692308,False
P01707,1,1,5,1,1,1,1,5,4,5,21,28,28,7.846153846153846,False
P17931,0,1,2,1,0,0,1,0,7,14,17,0,0,2.1666666666666665,False
Q12799,1,1,0,1,1,0,1,0,6,0,20,7,12,2.5,False
Q8N3J6,3,2,2,5,2,1,3,1,1,1,6,4,4,2.6923076923076925,False
Q9Y3B7,12,20,37,29,14,9,7,11,5,9,14,9,7,12.166666666666666,False
P19835,2,1,2,1,14,0,5,0,43,37,44,14,11,13.384615384615385,False
Q075Z2,8,1,8,13,2,1,1,1,13,14,12,12,13,7.615384615384615,False
Q86SQ4,5,6,4,5,8,4,8,8,11,2,7,6,9,6.384615384615385,False
ENSP00000389912,18,1,19,12,1,12,13,12,18,18,1,17,18,12.307692307692308,False
Q96Q77,1,1,1,1,5,8,7,6,5,25,7,22,24,8.692307692307692,False
Q8NGC7,1,1,1,1,2,1,1,1,5,1,8,3,10,2.1666666666666665,False
O75936,16,13,15,12,3,9,7,10,36,4,40,7,2,11.166666666666666,False
Q7Z460,2,7,5,9,1,8,20,10,11,9,9,17,18,9.692307692307692,False
Q9NXX6,0,13,16,28,7,16,6,7,9,7,7,4,5,8.083333333333334,False
Q9HA58,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,False
P10523,1,1,2,1,1,1,4,9,2,5,2,1,12,2.5,False
Q8N2I9,5,5,6,6,4,4,4,4,5,3,4,15,46,5.416666666666667,False
P31948,34,10,14,38,13,8,15,8,12,10,12,8,41,17.153846153846153,False
Q96GS6,4,6,8,1,0,22,25,43,17,43,29,38,40,21.23076923076923,False
Q9NV35,42,47,47,48,7,39,42,42,15,42,7,23,25,32.76923076923077,True
P78345,9,9,2,2,23,23,8,8,9,8,23,22,9,11.923076923076923,False
Q86V71,0,0,1,0,0,0,1,0,28,0,4,11,12,2.4166666666666665,False
O95167,6,6,4,6,4,4,4,4,4,5,4,4,5,4.615384615384615,False
Q3SY52,0,0,0,0,0,0,1,0,30,14,6,16,11,4.0,False
Q02108,2,2,2,2,5,27,22,5,6,46,36,20,45,16.923076923076923,False
Q12934,3,3,2,3,2,2,2,2,2,2,2,8,6,2.5833333333333335,False
Q9Y5I2,5,5,1,1,5,5,6,5,14,9,12,9,6,5.75,False
Q1EHB4,1,17,8,51,1,49,3,42,50,1,43,39,43,26.76923076923077,True
Q5VTJ3,5,5,4,5,4,5,5,6,27,56,20,10,54,8.727272727272727,False
P01185,1,1,2,1,1,4,1,1,1,4,1,4,8,1.8333333333333333,False
Q53F39,8,16,18,15,6,9,0,12,6,5,6,9,13,9.461538461538462,False
P46439,0,0,7,0,0,0,25,24,15,30,45,42,44,17.846153846153847,False
P49815,14,8,3,7,6,4,5,4,8,4,9,9,9,6.333333333333333,False
P59827,2,2,1,2,1,2,2,0,2,19,17,21,21,7.076923076923077,False
P00491,38,38,42,44,3,28,9,28,6,30,33,28,34,27.76923076923077,True
A6NM43,1,1,1,1,1,1,13,2,2,51,7,36,35,8.416666666666666,False
A6NLC8,0,17,6,6,0,25,1,22,30,27,12,17,16,13.76923076923077,False
Q86V15,5,5,8,8,10,5,8,5,5,5,10,6,5,6.538461538461538,False
P47898,2,2,1,2,1,0,0,0,11,4,3,8,7,2.5,False
Q9NQT5,10,6,15,11,5,9,4,4,3,4,5,5,9,6.25,False
Q9BV79,35,36,40,36,10,34,10,35,10,34,29,35,17,27.76923076923077,True
Q8TEC5,0,25,0,0,1,0,1,5,0,8,12,13,3,3.5833333333333335,False
Q9NP66,7,14,7,18,17,3,14,14,20,7,17,18,22,13.692307692307692,False
